epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,875.741,0.9584,1.05819,0.90366,0.46004,0.42485,0.41709,0.29901,0.97729,1.54979,0.94449,0.008581,0.008581,0.008581
45,895.089,0.97354,1.07439,0.91156,0.443,0.40632,0.38701,0.28012,1.00755,1.64979,0.94956,0.008548,0.008548,0.008548
46,914.526,0.97972,1.04909,0.90792,0.46017,0.43612,0.42212,0.30322,0.99036,1.53405,0.93975,0.008515,0.008515,0.008515
47,933.904,0.9659,1.03907,0.90161,0.47116,0.43943,0.4191,0.29625,1.00715,1.61172,0.94979,0.008482,0.008482,0.008482
48,953.129,0.98028,1.04596,0.89656,0.4112,0.41171,0.38488,0.27622,0.98701,1.61397,0.94118,0.008449,0.008449,0.008449
49,972.344,0.96487,1.03024,0.89821,0.41647,0.40998,0.39405,0.28053,1.01891,1.65339,0.95135,0.008416,0.008416,0.008416
50,991.697,0.9639,1.03293,0.90295,0.48224,0.44471,0.44017,0.31645,0.97856,1.55918,0.94135,0.008383,0.008383,0.008383
51,1011.04,0.95788,0.98514,0.90562,0.45835,0.42649,0.41479,0.29574,0.99231,1.50534,0.94549,0.00835,0.00835,0.00835
52,1030.45,0.96095,0.98791,0.89701,0.51634,0.43952,0.4548,0.3253,0.98689,1.40439,0.94171,0.008317,0.008317,0.008317
53,1049.77,0.93569,0.96996,0.90342,0.48032,0.4259,0.42248,0.30418,0.97413,1.52632,0.93756,0.008284,0.008284,0.008284
54,1069.18,0.93538,0.96063,0.89651,0.5029,0.43589,0.44279,0.32075,0.97563,1.52237,0.93481,0.008251,0.008251,0.008251
55,1088.36,0.93657,0.92644,0.89859,0.50635,0.40641,0.43641,0.31539,0.99006,1.73908,0.93726,0.008218,0.008218,0.008218
56,1107.71,0.9475,0.95294,0.89396,0.47131,0.45151,0.44896,0.32674,0.95772,1.41915,0.93205,0.008185,0.008185,0.008185
