epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1838.27,0.76608,0.4017,0.86495,0.84127,0.641,0.77237,0.51322,1.12166,1.01749,0.9612,0.008581,0.008581,0.008581
45,1879.86,0.75732,0.39379,0.85895,0.84124,0.69985,0.80785,0.53769,1.12665,1.04888,0.96199,0.008548,0.008548,0.008548
46,1921.49,0.74928,0.38833,0.85895,0.84082,0.71633,0.8149,0.54302,1.09725,0.92784,0.9552,0.008515,0.008515,0.008515
47,1963.28,0.75874,0.39151,0.86171,0.82963,0.73264,0.81942,0.54888,1.09355,0.87494,0.94899,0.008482,0.008482,0.008482
48,2004.77,0.74435,0.3896,0.86184,0.83017,0.68241,0.79803,0.53919,1.10685,1.04283,0.9568,0.008449,0.008449,0.008449
49,2046.35,0.7411,0.38439,0.85712,0.81647,0.68703,0.7946,0.53276,1.11439,0.9681,0.95795,0.008416,0.008416,0.008416
50,2088.07,0.74087,0.38525,0.85765,0.82878,0.73443,0.82113,0.54679,1.09771,0.89183,0.95246,0.008383,0.008383,0.008383
51,2129.61,0.73848,0.38182,0.85741,0.81099,0.70219,0.80032,0.53871,1.09602,0.96276,0.95309,0.00835,0.00835,0.00835
52,2171.12,0.73372,0.3816,0.85765,0.85072,0.70337,0.8111,0.54678,1.09207,0.98723,0.94907,0.008317,0.008317,0.008317
53,2212.65,0.72586,0.37564,0.85466,0.79204,0.71014,0.79186,0.53185,1.09891,0.96615,0.9556,0.008284,0.008284,0.008284
54,2254.31,0.73164,0.38232,0.85567,0.82435,0.68826,0.80115,0.53889,1.10663,1.02496,0.95746,0.008251,0.008251,0.008251
55,2295.81,0.72466,0.37715,0.85267,0.83136,0.69916,0.79525,0.54403,1.08059,0.96673,0.94738,0.008218,0.008218,0.008218
56,2337.48,0.72198,0.37453,0.85362,0.80831,0.6883,0.79451,0.53685,1.09229,0.99527,0.94731,0.008185,0.008185,0.008185
57,2379.02,0.72023,0.37428,0.85831,0.81125,0.70327,0.79131,0.53524,1.09076,0.9332,0.95264,0.008152,0.008152,0.008152
58,2420.67,0.71675,0.37272,0.85436,0.82882,0.68527,0.79472,0.53899,1.09249,0.98853,0.95378,0.008119,0.008119,0.008119
59,2462.14,0.70925,0.36713,0.85165,0.83063,0.69833,0.81325,0.54772,1.08643,0.96829,0.95024,0.008086,0.008086,0.008086
60,2503.72,0.71144,0.37087,0.85293,0.84327,0.71413,0.80025,0.53701,1.09305,0.98132,0.95639,0.008053,0.008053,0.008053
61,2545.4,0.70911,0.3682,0.85227,0.8441,0.70714,0.81429,0.54737,1.09273,0.96726,0.95192,0.00802,0.00802,0.00802
62,2586.98,0.69818,0.3612,0.84897,0.84743,0.67359,0.80149,0.54246,1.1033,1.01009,0.95436,0.007987,0.007987,0.007987
63,2628.53,0.70148,0.3654,0.84965,0.82248,0.7144,0.80738,0.54952,1.0888,0.9819,0.95097,0.007954,0.007954,0.007954
64,2669.97,0.70487,0.36321,0.85118,0.82453,0.70198,0.80842,0.54902,1.08144,0.99529,0.94682,0.007921,0.007921,0.007921
65,2711.54,0.70407,0.36369,0.85128,0.81582,0.72249,0.8085,0.54381,1.09002,0.93998,0.95323,0.007888,0.007888,0.007888
66,2752.99,0.69775,0.36227,0.84713,0.84403,0.66996,0.79886,0.5429,1.0726,0.99695,0.949,0.007855,0.007855,0.007855
67,2794.64,0.69301,0.35711,0.84762,0.83792,0.70148,0.80424,0.54557,1.07855,0.98015,0.94831,0.007822,0.007822,0.007822
68,2836.15,0.68903,0.36056,0.84927,0.83546,0.71089,0.80975,0.55194,1.08238,0.9349,0.94892,0.007789,0.007789,0.007789
69,2877.74,0.69166,0.35839,0.84526,0.82925,0.72592,0.81892,0.55049,1.08657,0.92806,0.94854,0.007756,0.007756,0.007756
70,2919.41,0.69795,0.35882,0.84977,0.83259,0.70039,0.81202,0.55102,1.07821,0.96218,0.95083,0.007723,0.007723,0.007723
71,2960.97,0.68459,0.35177,0.84779,0.84003,0.71916,0.81519,0.54997,1.08858,0.92942,0.95298,0.00769,0.00769,0.00769
72,3002.46,0.6835,0.34977,0.84769,0.83735,0.70512,0.81038,0.55197,1.08548,0.97967,0.9519,0.007657,0.007657,0.007657
73,3044.04,0.68251,0.35354,0.84978,0.82131,0.70615,0.8123,0.55048,1.08711,0.90783,0.95165,0.007624,0.007624,0.007624
74,3085.68,0.68134,0.35192,0.84437,0.83267,0.70103,0.81138,0.55195,1.07885,0.93557,0.95152,0.007591,0.007591,0.007591
75,3127.19,0.67905,0.34926,0.84389,0.82602,0.69756,0.80345,0.55021,1.07457,0.97644,0.95037,0.007558,0.007558,0.007558
76,3168.79,0.67699,0.34732,0.84505,0.83294,0.67807,0.80201,0.54764,1.08627,0.99112,0.95265,0.007525,0.007525,0.007525
77,3210.27,0.67686,0.35033,0.84691,0.8148,0.71982,0.81721,0.55275,1.08131,0.93733,0.95207,0.007492,0.007492,0.007492
78,3251.83,0.66408,0.34647,0.84383,0.8189,0.73867,0.82548,0.56007,1.0762,0.9354,0.94951,0.007459,0.007459,0.007459
79,3293.46,0.67349,0.34943,0.84167,0.82966,0.72075,0.81781,0.55361,1.08126,0.94037,0.95095,0.007426,0.007426,0.007426
80,3334.93,0.66677,0.34522,0.84479,0.82278,0.73281,0.8224,0.55456,1.08783,0.93097,0.95087,0.007393,0.007393,0.007393
81,3376.45,0.67297,0.34633,0.84504,0.81956,0.72876,0.82388,0.5578,1.07734,0.94314,0.94986,0.00736,0.00736,0.00736
82,3417.86,0.65749,0.34131,0.84095,0.82427,0.70724,0.81622,0.55254,1.08424,0.99211,0.95325,0.007327,0.007327,0.007327
83,3459.28,0.66212,0.34532,0.84258,0.81502,0.71462,0.81261,0.55084,1.08212,0.95768,0.95306,0.007294,0.007294,0.007294
84,3500.72,0.6686,0.3447,0.84392,0.81606,0.71835,0.80934,0.55176,1.08242,0.96809,0.95555,0.007261,0.007261,0.007261
85,3542.24,0.65468,0.3387,0.83998,0.82537,0.71655,0.81679,0.55627,1.08371,0.94086,0.95424,0.007228,0.007228,0.007228
86,3583.63,0.65667,0.33947,0.84031,0.83636,0.72359,0.81688,0.55359,1.08785,0.93089,0.95361,0.007195,0.007195,0.007195
87,3625.09,0.65725,0.33864,0.84345,0.81782,0.72143,0.82039,0.55412,1.08977,0.92673,0.95355,0.007162,0.007162,0.007162
